jobId,title,role,company,location,salary,listing_time,url
74503709,"IT Infrastructure Officer (Morowali)","Administrasi Jaringan & Sistem","PT. BTR INDONESIA",Morowali,"Rp 7.000.000 – Rp 10.000.000 per month","26 menit yang lalu",https://www.jobstreet.co.id/id/job/74503709?type=standout&ref=search-standalone&origin=cardTitle
74503156,"IT Software QA Tester (Contract Based)","Uji Coba & Penjaminan Mutu","PT Aneka Search Indonesia",Setiabudi,,"2 jam yang lalu",https://www.jobstreet.co.id/id/job/74503156?type=standard&ref=search-standalone&origin=cardTitle
74501509,"Real Time Floor Monitoring (RTFM)","Meja Bantuan & Dukungan IT",Radikari,Semarang,,"8 jam yang lalu",https://www.jobstreet.co.id/id/job/74501509?type=standard&ref=search-standalone&origin=cardTitle
74501752,"Penelitian dan Pengembangan (Tenaga Ahli Pratama)","Administrasi Jaringan & Sistem","Jogja Tama Tri Cita",Yogyakarta,,"8 jam yang lalu",https://www.jobstreet.co.id/id/job/74501752?type=standard&ref=search-standalone&origin=cardTitle
74500940,"IT Help Desk","Meja Bantuan & Dukungan IT",Radikari,"Kebayoran Lama",,"8 jam yang lalu",https://www.jobstreet.co.id/id/job/74500940?type=standard&ref=search-standalone&origin=cardTitle
74500986,"Mitra Instalasi Kabel Rumah area Semarang","Administrasi Jaringan & Sistem","PT Solusindo Bintang Pratama",Semarang,,"8 jam yang lalu",https://www.jobstreet.co.id/id/job/74500986?type=standard&ref=search-standalone&origin=cardTitle
74501028,Surveillance,"Administrasi Jaringan & Sistem","PT. Jembatan Citra Nusantara",Yogyakarta,,"8 jam yang lalu",https://www.jobstreet.co.id/id/job/74501028?type=standard&ref=search-standalone&origin=cardTitle
74501464,"Admin Bank","Meja Bantuan & Dukungan IT","Peluang Kerjaku",Kemayoran,,"8 jam yang lalu",https://www.jobstreet.co.id/id/job/74501464?type=standard&ref=search-standalone&origin=cardTitle
74501476,"Teknisi Fiber Optik","Administrasi Jaringan & Sistem","PT. Jembatan Citra Nusantara",Sukoharjo,,"8 jam yang lalu",https://www.jobstreet.co.id/id/job/74501476?type=standard&ref=search-standalone&origin=cardTitle
74501501,"Teknisi Fiber Optik","Administrasi Jaringan & Sistem","PT. Jembatan Citra Nusantara",Yogyakarta,,"8 jam yang lalu",https://www.jobstreet.co.id/id/job/74501501?type=standard&ref=search-standalone&origin=cardTitle
